Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2014-15,23,PHI,NBA,PF,41,540,12.0,.517,.064,.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,,0.7,0.7,1.4,.122,,-3.9,0.4,-3.6,-0.2,https://www.basketball-reference.com/players/a/aldemfu01.html
2010-11,22,OKC,NBA,C,18,142,7.0,.537,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,,0.0,0.2,0.2,.066,,-5.6,1.6,-4.0,-0.1,https://www.basketball-reference.com/players/a/aldrico01.html
2011-12,23,OKC,NBA,C,26,173,17.7,.592,.000,.333,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,,0.3,0.4,0.6,.176,,-1.3,2.2,1.0,0.1,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,TOT,NBA,C,45,388,11.1,.563,.000,.250,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,,0.1,0.4,0.6,.070,,-3.5,0.6,-2.9,-0.1,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,HOU,NBA,C,30,213,7.3,.532,.000,.209,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,,-0.1,0.3,0.2,.038,,-5.6,0.6,-5.0,-0.2,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,SAC,NBA,C,15,175,15.7,.598,.000,.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,,0.2,0.2,0.4,.109,,-1.0,0.5,-0.5,0.1,https://www.basketball-reference.com/players/a/aldrico01.html
2013-14,25,NYK,NBA,C,46,330,19.1,.620,.000,.492,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,,0.6,0.6,1.2,.178,,-0.1,1.6,1.5,0.3,https://www.basketball-reference.com/players/a/aldrico01.html
2014-15,26,NYK,NBA,C,61,976,18.1,.513,.000,.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,,0.8,1.4,2.2,.107,,-0.8,1.1,0.3,0.6,https://www.basketball-reference.com/players/a/aldrico01.html
2015-16,27,LAC,NBA,C,60,800,21.3,.626,.000,.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,,1.4,2.0,3.5,.209,,-0.9,3.4,2.4,0.9,https://www.basketball-reference.com/players/a/aldrico01.html
2016-17,28,MIN,NBA,C,62,531,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,,0.6,0.7,1.3,.116,,-2.3,1.5,-0.8,0.2,https://www.basketball-reference.com/players/a/aldrico01.html
