Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2009-10,27,MIA,NBA,C,5,79,11.6,.742,.000,.571,8.8,5.1,7.1,2.0,1.3,5.4,10.2,5.7,,0.1,0.1,0.3,.160,,-0.7,2.9,2.2,0.1,https://www.basketball-reference.com/players/a/anthojo01.html
2010-11,28,MIA,NBA,C,21,575,7.6,.463,.000,.633,7.6,12.7,10.2,2.7,0.8,5.5,17.2,6.4,,0.2,0.8,0.9,.078,,-2.5,1.9,-0.6,0.2,https://www.basketball-reference.com/players/a/anthojo01.html
2011-12,29,MIA,NBA,C,17,329,9.9,.675,.000,.862,8.3,11.9,10.1,0.9,0.8,4.0,16.7,7.0,,0.6,0.4,0.9,.138,,-1.6,2.0,0.4,0.2,https://www.basketball-reference.com/players/a/anthojo01.html
2012-13,30,MIA,NBA,C,14,71,6.4,.300,.000,.000,17.7,18.8,18.3,0.0,1.5,4.8,23.1,8.9,,0.0,0.1,0.1,.047,,-4.9,-0.7,-5.6,-0.1,https://www.basketball-reference.com/players/a/anthojo01.html
2016-17,34,SAS,NBA,C,3,15,19.6,.676,.000,.250,14.8,16.1,15.4,0.0,0.0,13.2,18.4,16.1,,0.0,0.0,0.0,.119,,-1.9,1.0,-0.8,0.0,https://www.basketball-reference.com/players/a/anthojo01.html
2013-14,31,ATL,NBA,C,7,170,-1.1,.242,.595,.190,6.3,12.1,9.0,5.0,1.6,1.5,14.9,14.6,,-0.6,0.3,-0.3,-0.098,,-7.8,-2.0,-9.8,-0.3,https://www.basketball-reference.com/players/a/anticpe01.html
2014-15,32,ATL,NBA,C,15,199,8.5,.516,.640,.500,4.8,18.3,11.6,3.0,0.5,1.2,7.6,15.1,,0.2,0.2,0.4,.092,,-3.9,-0.3,-4.2,-0.1,https://www.basketball-reference.com/players/a/anticpe01.html
2017-18,20,TOR,NBA,SF,10,238,12.7,.695,.558,.212,4.5,6.3,5.4,4.3,1.3,1.3,9.5,12.0,,0.5,0.0,0.5,.094,,0.7,0.5,1.2,0.2,https://www.basketball-reference.com/players/a/anunoog01.html
2019-20,22,TOR,NBA,SF,11,393,11.5,.573,.466,.318,7.0,14.0,10.4,4.7,1.4,3.5,13.8,13.1,,0.2,0.7,0.9,.116,,-0.6,1.5,0.8,0.3,https://www.basketball-reference.com/players/a/anunoog01.html
2006-07,26,UTA,NBA,C,5,28,12.6,.414,.000,1.500,12.5,33.7,23.1,5.5,1.9,0.0,0.0,21.3,,0.0,0.0,0.1,.114,,-2.8,-0.3,-3.1,0.0,https://www.basketball-reference.com/players/a/araujra01.html
